"Administrative unit ID"	"Administrative unit"	"Police administrative unit"
"UE-01"	"Ajdovščina"	"PU Nova Gorica"
"UE-02"	"Brežice"	"PU Novo mesto"
"UE-03"	"Celje"	"PU Celje"
"UE-04"	"Cerknica"	"PU Ljubljana"
"UE-05"	"Črnomelj"	"PU Novo mesto"
"UE-06"	"Domžale"	"PU Ljubljana"
"UE-07"	"Dravograd"	"PU Celje"
"UE-08"	"Gornja Radgona"	"PU Murska Sobota"
"UE-09"	"Grosuplje"	"PU Ljubljana"
"UE-10"	"Hrastnik"	"PU Ljubljana"
"UE-11"	"Idrija"	"PU Nova Gorica"
"UE-12"	"Ilirska Bistrica"	"PU Koper"
"UE-13"	"Izola"	"PU Koper"
"UE-14"	"Jesenice"	"PU Kranj"
"UE-15"	"Kamnik"	"PU Ljubljana"
"UE-16"	"Kočevje"	"PU Ljubljana"
"UE-17"	"Koper"	"PU Koper"
"UE-18"	"Kranj"	"PU Kranj"
"UE-19"	"Krško"	"PU Novo mesto"
"UE-20"	"Laško"	"PU Celje"
"UE-21"	"Lenart"	"PU Maribor"
"UE-22"	"Lendava"	"PU Murska Sobota"
"UE-23"	"Litija"	"PU Ljubljana"
"UE-24"	"Ljubljana"	"PU Ljubljana"
"UE-29"	"Ljutomer"	"PU Murska Sobota"
"UE-30"	"Logatec"	"PU Ljubljana"
"UE-64"	"Maribor"	"PU Maribor"
"UE-34"	"Metlika"	"PU Novo mesto"
"UE-35"	"Mozirje"	"PU Celje"
"UE-36"	"Murska Sobota"	"PU Murska Sobota"
"UE-37"	"Nova Gorica"	"PU Nova Gorica"
"UE-38"	"Novo mesto"	"PU Novo mesto"
"UE-39"	"Ormož"	"PU Maribor"
"UE-65"	"Pesnica"	"PU Maribor"
"UE-40"	"Piran"	"PU Koper"
"UE-41"	"Postojna"	"PU Koper"
"UE-42"	"Ptuj"	"PU Maribor"
"UE-43"	"Radlje ob Dravi"	"PU Celje"
"UE-44"	"Radovljica"	"PU Kranj"
"UE-45"	"Ravne na Koroškem"	"PU Celje"
"UE-46"	"Ribnica"	"PU Ljubljana"
"UE-68"	"Ruše"	"PU Maribor"
"UE-47"	"Sevnica"	"PU Novo mesto"
"UE-48"	"Sežana"	"PU Koper"
"UE-49"	"Slovenj Gradec"	"PU Celje"
"UE-50"	"Slovenska Bistrica"	"PU Maribor"
"UE-51"	"Slovenske Konjice"	"PU Celje"
"UE-52"	"Šentjur pri Celju"	"PU Celje"
"UE-53"	"Škofja Loka"	"PU Kranj"
"UE-54"	"Šmarje pri Jelšah"	"PU Celje"
"UE-55"	"Tolmin"	"PU Nova Gorica"
"UE-56"	"Trbovlje"	"PU Ljubljana"
"UE-57"	"Trebnje"	"PU Novo mesto"
"UE-58"	"Tržič"	"PU Kranj"
"UE-59"	"Velenje"	"PU Celje"
"UE-60"	"Vrhnika"	"PU Ljubljana"
"UE-61"	"Zagorje ob Savi"	"PU Ljubljana"
"UE-62"	"Žalec"	"PU Celje"
